package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_1,,text,12,-------------------------------------------------------------------------------------------- | TABLE 8: COMPARISON INTERSECTION CRITICAL LANE VOLUME | Level of Service | A | B,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_2,,mixed_numeric_text,59,1990 | feedback | 0.05 | 0.15 | 0.35,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,TABLE 1: COMPARISON OF SOME KEY DATA INPUTS,,mixed_numeric_text,38,Data Input | Housing Units | Jobs | Road Capacity | (note: Montgomery County totals),,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_4,,mixed_numeric_text,67,1990 | 280000 | 415000 | 3210000 | 2010,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_5,,mixed_numeric_text,59,2010 | 340000 | 650000 | 4190000 | Purpose,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_6,,mixed_numeric_text,55,2010 | Origin | 298502 | 115741 | 96563,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_7,,mixed_numeric_text,11,1990 | 0.18 | 0.36 | 0.23 | Destination,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_8,,numeric,1,2010,2010,2010,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_9,,mixed_numeric_text,7,1990 | =VALUE(34783) | 159109 | 19924 | 13622,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
paper-1994-01,Integrating Feedback Into The Transportation Planning Model,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1994-01-integrating-feedback-into-the-transportation-planning-model,data/derived_tables/modernized/csv/Sheet1.csv,,column_10,,numeric,6,37588 | 243075 | 25208 | 12501 | 690,690,243075,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 262 rows."
